transaction_id,customer_transaction_count_before,customer_avg_amount_before,customer_median_amount_before,customer_amount_std_before,customer_merchant_count_before,customer_device_count_before,customer_instrument_count_before,customer_txn_count_5m,customer_txn_count_30m,customer_txn_count_1h,customer_txn_count_24h,device_txn_count_5m,device_txn_count_1h,instrument_txn_count_5m,instrument_txn_count_1h,device_account_count_before,device_merchant_count_before,instrument_account_count_before,instrument_merchant_count_before,other_customer_device_count_before,other_customer_instrument_count_before,seconds_since_customer_last_transaction,seconds_since_device_last_transaction,seconds_since_instrument_last_transaction,amount_vs_customer_mean,amount_vs_customer_median,customer_amount_zscore,amount,log_amount,hour,day_of_week,is_weekend
txn_09621,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,347.19,5.852748307794748,0,2,0
txn_07583,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,291.27,5.677678032570093,0,2,0
txn_04169,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,6333.17,8.753714066018494,0,2,0
txn_06933,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1717.06,7.448951026264978,1,2,0
txn_07833,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1361.01,7.21671682882641,1,2,0
txn_07046,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,788.18,6.670994431708742,1,2,0
txn_02928,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1536.71,7.3380495757195945,1,2,0
txn_09042,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1191.64,7.0839246162908935,1,2,0
txn_00792,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,931.62,6.837997829565674,1,2,0
txn_09880,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,2386.81,7.778131906857959,2,2,0
txn_00635,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,386.31,5.959225405965332,2,2,0
txn_05674,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,8085.03,8.997893160310085,2,2,0
txn_00038,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,3688.21,8.213167621972657,2,2,0
txn_09659,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,3329.31,8.11082067173469,2,2,0
txn_00642,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4142.8,8.329368520226382,3,2,0
txn_05738,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1202.05,7.092615277870738,4,2,0
txn_05654,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5505.87,8.613751682664617,4,2,0
txn_08835,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1511.45,7.321486131507334,4,2,0
txn_05719,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,867.59,6.766871207255264,4,2,0
txn_06491,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1132.52,7.033083114255971,5,2,0
txn_05536,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,7130.23,8.872239009049046,5,2,0
txn_09681,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5426.7,8.599270750451693,6,2,0
txn_02259,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,206.92,5.337153390333235,6,2,0
txn_00341,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,348.03,5.855157878393475,6,2,0
txn_06041,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1652.4,7.410589052818575,6,2,0
txn_07738,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,303.12,5.717422360360236,6,2,0
txn_04717,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,620.44,6.432039365662906,6,2,0
txn_06989,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1123.86,7.025413862450224,7,2,0
txn_05920,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,843.92,6.739241948319042,7,2,0
txn_03578,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,111.5,4.722953221644475,7,2,0
txn_04176,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,2173.28,7.684452854236016,8,2,0
txn_09612,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,323.2,5.781360609301576,8,2,0
txn_02150,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1090.67,6.9954639128316956,9,2,0
txn_07237,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,533.95,6.282173284584616,9,2,0
txn_04790,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,9302.6,9.138156701012914,9,2,0
txn_04535,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,7714.8,8.951025453523798,10,2,0
txn_02816,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,865.37,6.764312069048505,10,2,0
txn_03815,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5686.47,8.646020788520019,10,2,0
txn_00938,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-1.0,35652.0,-1.0,0.0,0.0,0.0,434.53,6.076563680257546,10,2,0
txn_07868,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1.0,-1.0,36395.0,0.0,0.0,0.0,426.52,6.058001070908226,11,2,0
txn_02228,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,28140.48,10.244999923457351,11,2,0
txn_04792,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1031.57,6.939806119147271,11,2,0
txn_07696,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,261.11,5.568764262978113,12,2,0
txn_00975,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,2137.43,7.667827193906997,12,2,0
txn_02314,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,3226.66,8.079512695465713,12,2,0
txn_00660,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5538.45,8.619650496834605,13,2,0
txn_05992,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1.0,-1.0,28280.0,0.0,0.0,0.0,12376.08,9.423601654120976,14,2,0
txn_02758,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1535.94,7.337548705691398,14,2,0
txn_00763,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,8318.57,9.02636584978735,15,2,0
txn_07489,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,272.0,5.60947179518496,15,2,0
txn_01834,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,8406.01,9.036821160619542,15,2,0
txn_06243,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-1.0,23653.0,-1.0,0.0,0.0,0.0,932.36,6.838790978515601,16,2,0
txn_02537,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,445.35,6.101103397625371,16,2,0
txn_03540,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,402.12,5.999234284372343,17,2,0
txn_01278,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,53141.42,10.880730758359686,17,2,0
txn_00898,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,437.64,6.083679031095793,17,2,0
txn_04488,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,349.35,5.858932654816543,17,2,0
txn_02569,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,417.42,6.0364857127555025,17,2,0
txn_09981,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1405.07,7.248553857760031,17,2,0
txn_02260,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1118.09,7.020271134032114,17,2,0
