transaction_id,is_abuse,abuse_type,abuse_cluster_id
txn_00001,False,none,none
txn_00002,False,none,none
txn_00003,False,none,none
txn_00004,False,none,none
txn_00005,False,none,none
txn_00006,False,none,none
txn_00007,False,none,none
txn_00008,False,none,none
txn_00009,False,none,none
txn_00010,False,none,none
txn_00011,False,none,none
txn_00012,False,none,none
txn_00013,False,none,none
txn_00014,False,none,none
txn_00015,False,none,none
txn_00016,False,none,none
txn_00017,False,none,none
txn_00018,False,none,none
txn_00019,False,none,none
txn_00020,True,shared_device,abuse_01
txn_00021,False,none,none
txn_00022,False,none,none
txn_00023,False,none,none
txn_00024,False,none,none
txn_00025,False,none,none
txn_00026,True,velocity_burst,abuse_03
txn_00027,False,none,none
txn_00028,False,none,none
txn_00029,False,none,none
txn_00030,False,none,none
txn_00031,False,none,none
txn_00032,False,none,none
txn_00033,False,none,none
txn_00034,False,none,none
txn_00035,False,none,none
txn_00036,False,none,none
txn_00037,False,none,none
txn_00038,False,none,none
txn_00039,False,none,none
txn_00040,False,none,none
txn_00041,False,none,none
txn_00042,False,none,none
txn_00043,False,none,none
txn_00044,False,none,none
txn_00045,False,none,none
txn_00046,False,none,none
txn_00047,False,none,none
txn_00048,False,none,none
txn_00049,False,none,none
txn_00050,False,none,none
txn_00051,False,none,none
txn_00052,False,none,none
txn_00053,False,none,none
txn_00054,False,none,none
txn_00055,False,none,none
txn_00056,False,none,none
txn_00057,False,none,none
txn_00058,False,none,none
txn_00059,False,none,none
txn_00060,False,none,none
txn_00061,False,none,none
txn_00062,False,none,none
txn_00063,False,none,none
txn_00064,False,none,none
txn_00065,False,none,none
txn_00066,False,none,none
txn_00067,False,none,none
txn_00068,False,none,none
txn_00069,False,none,none
txn_00070,False,none,none
txn_00071,False,none,none
txn_00072,False,none,none
txn_00073,False,none,none
txn_00074,False,none,none
txn_00075,True,shared_payment_instrument,abuse_02
txn_00076,False,none,none
txn_00077,False,none,none
txn_00078,False,none,none
txn_00079,False,none,none
txn_00080,False,none,none
txn_00081,False,none,none
txn_00082,False,none,none
txn_00083,False,none,none
txn_00084,False,none,none
txn_00085,False,none,none
txn_00086,False,none,none
txn_00087,False,none,none
txn_00088,False,none,none
txn_00089,False,none,none
txn_00090,False,none,none
txn_00091,False,none,none
txn_00092,False,none,none
txn_00093,False,none,none
txn_00094,False,none,none
txn_00095,False,none,none
txn_00096,False,none,none
txn_00097,False,none,none
txn_00098,False,none,none
txn_00099,False,none,none
txn_00100,False,none,none
txn_00101,False,none,none
txn_00102,True,cross_merchant_ring,abuse_04
txn_00103,False,none,none
txn_00104,False,none,none
txn_00105,False,none,none
txn_00106,False,none,none
txn_00107,False,none,none
txn_00108,False,none,none
txn_00109,False,none,none
txn_00110,False,none,none
txn_00111,False,none,none
txn_00112,False,none,none
txn_00113,False,none,none
txn_00114,False,none,none
txn_00115,False,none,none
txn_00116,False,none,none
txn_00117,False,none,none
txn_00118,False,none,none
txn_00119,False,none,none
txn_00120,False,none,none
txn_00121,False,none,none
txn_00122,False,none,none
txn_00123,False,none,none
txn_00124,False,none,none
txn_00125,False,none,none
txn_00126,False,none,none
txn_00127,False,none,none
txn_00128,False,none,none
txn_00129,False,none,none
txn_00130,False,none,none
txn_00131,False,none,none
txn_00132,False,none,none
txn_00133,False,none,none
txn_00134,False,none,none
txn_00135,False,none,none
txn_00136,False,none,none
txn_00137,False,none,none
txn_00138,False,none,none
txn_00139,False,none,none
txn_00140,False,none,none
txn_00141,False,none,none
txn_00142,False,none,none
txn_00143,True,velocity_burst,abuse_03
txn_00144,False,none,none
txn_00145,False,none,none
txn_00146,False,none,none
txn_00147,False,none,none
txn_00148,False,none,none
txn_00149,False,none,none
txn_00150,False,none,none
txn_00151,False,none,none
txn_00152,False,none,none
txn_00153,False,none,none
txn_00154,False,none,none
txn_00155,False,none,none
txn_00156,False,none,none
txn_00157,False,none,none
